address,lat,lng,level
中部科學園區台中市后里區三豐路4段369號,24.279149,120.721434,路名
中部科學園區台中市后里區后科南路30號,24.315672,120.729193,門牌
中部科學園區台中市后里區后科路二段335號,24.320341,120.727877,路名
中部科學園區台中市大雅區橫山里科雅路8號,24.225414,120.629103,路名
中部科學園區台中市大雅區秀山里科雅路25號5樓,24.224944,120.627886,門牌
中部科學園區台中市大雅區科雅二路8號,24.216454,120.621096,門牌
中部科學園區台中市大雅區科雅路11號,24.217489,120.622659,門牌
中部科學園區台中市大雅區科雅路16號,24.220282,120.625807,門牌
中部科學園區台中市大雅區科雅路32號4樓,24.224946,120.629095,門牌
中部科學園區台中市大雅區科雅路42號3樓,24.224720,120.629619,門牌
中部科學園區台中市西屯區東大路一段997號及999號,24.226947,120.612542,路名
中部科學園區台中市西屯區林厝里科園一路16號,24.205806,120.608632,門牌
中部科學園區台中市西屯區科園三路10號,24.204541,120.603861,門牌
中部科學園區雲林縣虎尾鎮墾地里科雲路72號3樓,23.737885,120.406287,路名
中部科學園區雲林縣虎尾鎮科虎一路8號,23.736063,120.405142,門牌
中部科學園區雲林縣虎尾鎮科虎三路18號,23.736237,120.397173,門牌
南投縣中寮鄉廣興村頂城巷46號,23.861122,120.795377,門牌
南投縣仁愛鄉互助村清風路45號,24.068738,120.952909,門牌
南投縣仁愛鄉大同村榮光巷34-1號,24.038228,121.152549,路名
南投縣信義鄉望美村美信巷38號,23.617837,120.884514,門牌
南投縣信義鄉潭南村和平巷19之39號一樓,23.820211,120.939178,門牌
南投縣信義鄉自強村綠美巷9號1樓,23.691504,120.851045,門牌
南投縣南投市三和里8鄰中山南街43號,23.901728,120.687367,門牌
南投縣南投市三和里中山街1巷11號1樓,23.904903,120.685660,門牌
南投縣南投市三和里中興路二街64號一樓,23.904791,120.690135,門牌
南投縣南投市三和里公園南街45號1樓,23.905056,120.689834,門牌
南投縣南投市三民里民生街76號1樓,23.909375,120.682605,門牌
南投縣南投市三興里26鄰文化路105巷38號,23.903641,120.678022,門牌
南投縣南投市三興里彰南路一段807號3樓,23.908688,120.680807,路名
南投縣南投市三興里文化南路104巷19號,23.899793,120.681931,門牌
南投縣南投市三興里文化南路113號1樓,23.899349,120.680920,門牌
南投縣南投市三興里文化南路203號二樓,23.901233,120.679423,門牌
南投縣南投市中華路301-19號,23.976677,120.853251,路名
南投縣南投市中華路305號,23.973603,120.971893,門牌
南投縣南投市仁和路15號,24.019016,121.131006,門牌
南投縣南投市仁和里民權街84號一樓,23.909708,120.686611,門牌
南投縣南投市光明南路60-7號(1樓),23.928680,120.694635,路名
南投縣南投市光明南路60巷86號1樓,23.928786,120.694512,門牌
南投縣南投市光榮里光榮東路74號一樓,23.949984,120.702229,門牌
南投縣南投市內新里南營路117號,23.932058,120.691715,門牌
南投縣南投市內新里南營路441號1樓,23.937727,120.686524,門牌
南投縣南投市內興里中興一路9號一樓,23.939201,120.696914,門牌
南投縣南投市內興里南新路218號,23.930776,120.700814,門牌
南投縣南投市千秋里3鄰千秋路217巷59號1樓,23.892187,120.704142,路名
南投縣南投市南崗三路107號,23.943221,120.663099,門牌
南投縣南投市南崗三路252號,23.933044,120.666564,門牌
南投縣南投市南崗三路47號,23.930986,120.666982,門牌
南投縣南投市南崗三路99號,23.941092,120.663900,門牌
